NO;ITEM;RESTO;VENDOR UTAMA;LEAD TIME;LOKASI;VENDOR ALTERNATIF 1;LEAD TIME2;LOKASI3;VENDOR ALTERNATIF 2;LEAD TIME4;LOKASI5
1;AIR GALON RO;PALOPO;RISKAL GALON;1;PALOPO;HJ FAISAL;1;PALOPO;AIR GALON BENTENG;1;PALOPO
;;BONE;ABU HAIKAL;1;BONE;DEPOT LINTAS AIR RO;1;BONE;DEPOT ISTIQAMAH BONE;1;BONE
;;PARE;DEPOT ARIFAH;1;PARE;DEPOT AL ANSAR;1;PARE;DEPOT MARISSA;1;PARE
;;PINRANG;R'ADDIN LAUNDRY & GALON;1;PINRANG;AIR MINUM AQSHA;1;PINRANG;AYU WATER;1;PINRANG
;;MAKASSAR;DEPOT AERTA;1;MAKASSAR;DEPOT RO RAHMI WATER;1;MAKASSAR ;DEPOT ANNUR;1;MAKASSAR
;;;;;;;;;;;
2;AIR GALON VIT;TUUKTEA;VIARDI BINTANG TERANG;1;PALOPO;TOKO SEJAHTERA;1;PALOPO;;;
3;AIR MINERAL;PALOPO;RIBBAS JAYA;1;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;BONE;SINAR GOWA SUKSES;2;BONE;SWALAYAN ORIENTAL;1;BONE;DAPUR INDO;1;BONE
;;PARE;JAYA PERKASA;1;PARE;TOKO SYAHRANI;1;PARE;TOKO SINAR TENGGARA;1;PARE
;;PINRANG;JAYA PERKASA;1;PARE;TOKO AKBAR;1;PINRANG;TOKO TOMPO MULIA;1;PINRANG
;;MAKASSAR;CRYSTALINE;1;MAKASSAR;SATU SAMA;1;MAKASSAR;BENTENG MART;1;MAKASSAR
;;;;;;;;;;;
4;ALUMINIUM FOIL;TUUKTEA;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO;DAPUR MARKET;1;PALOPO
5;APRON MAKAN;PALOPO;KANTONG KERTAS;3;YOGYAKARTA;;;;;;
;;BONE;KANTONG KERTAS;3;YOGYAKARTA;;;;;;
;;PARE;KANTONG KERTAS;3;YOGYAKARTA;;;;;;
;;PINRANG;KANTONG KERTAS;3;YOGYAKARTA;;;;;;
;;MAKASSAR;KANTONG KERTAS;3;YOGYAKARTA;;;;;;
