brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Available Stock
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,783.99 ",14,24975.86,81
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $449.00 ,60,26940,334
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $999.99 ,24,23999.76,391
Apple,MacBook Air,13.3 Inches,Silver,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard,Integrated,,,4.8," $3,423.99 ",60,205439.4,345
Apple,MacBook Air,15.3 Inches,Midnight,256 GB,Unknown,8 GB,Mac OS,,Integrated,,,4.8, $699.00 ,33,23067,110
Acer,A315-24P-R7VH,15.6 Inches,Silver,128 GB,Ryzen 3,8 GB,Windows 11 S,Backlit Keyboard,Integrated,,,4.5," $1,599.00 ",37,59163,383
Apple,MacBook Pro,13.3 Inches,Space Gray,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard,Integrated,,,4.7," $1,314.99 ",59,77584.41,191
Acer,CB315-3HT,15.6 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Support Stylus,Integrated,,,4.4, $799.00 ,47,37553,136
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.4, $899.99 ,26,23399.74,122
acer,A515-56-347N,15.6 Inches,Silver,128 GB,Core I3 1115G4,8 GB,Windows 11 S,Amazon Alexa,Integrated,,,4.3," $1,037.99 ",46,47747.54,245
acer,AN515-58-57Y8,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.4, $750.74 ,47,35284.78,176
HP,Notebook,14 Inches,Grey,1 TB,Ryzen 3 3250U,16 GB,Windows 11,Anti Glare Coating,Integrated,,,4.4," $1,689.00 ",59,99651,460
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,077.24 ",16,17235.84,456
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,699.00 ",30,50970,397
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,850.52 ",14,25907.28,261
acer,Nitro 17,17.3 Inches,Black,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.4," $1,531.28 ",39,59719.92,277
HP,hp laptop,15.6 Inches,,1 TB,Intel Core i3,16 GB,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,,4.2," $1,799.95 ",17,30599.15,162
Gateway,,11.6 Inches,Blue,64 GB,Celeron N4020,4 GB,Windows 10 S,,Integrated,Intel,1.1 GHz,4, $999.99 ,26,25999.74,221
ASUS,FX506HF-ES51,15.6 Inches,Graphite Black,512 GB,Core i5,8 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,,4.5," $2,179.05 ",37,80624.85,206
MSI,Thin GF63 12VE-066US,15.6 Inches,,512 GB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4050,,,4.5, $374.99 ,55,20624.45,432
Lenovo,IdeaPad 3 81X800ENUS,15.6 Inches,Almond,256 GB,Core i3,20 GB,Windows 11,Backlit Keyboard,Integrated,,,4.3, $639.99 ,23,14719.77,158
Lenovo,IdeaPad Gaming 3,15.6 Inches,Onyx Grey,256 GB,Ryzen 5,8 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.3, $84.54 ,49,4142.46,299
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,1 TB,Intel Core i9,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.5, $589.99 ,50,29499.5,140
HP,Chromebook 14a-na0226nr,14 Inches,Mineral Silver,64,Celeron,4 GB,Chrome OS,Anti-Glare,Integrated,,,4.4," $2,255.92 ",37,83469.04,371
HP,TPN-I139_320M3AV,17.3 Inches,Silver,1 TB,Core i3 Family,32 GB,Windows 11 Home,HD Audio,Integrated,,,4.6," $1,102.99 ",58,63973.42,353
HP,i5 12th Gen 15-dy5399nr,15.6 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,Micro-edge Bezel,Integrated,,,4.3," $1,499.99 ",34,50999.66,333
ASUS,ROG Strix G16,16 Inches,Eclipse Gray,,Core i9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,4.3, $858.98 ,38,32641.24,317
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $389.99 ,24,9359.76,307
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $3,785.54 ",29,109780.66,145
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,669.00 ",17,28373,340
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $999.99 ,22,21999.78,356
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $1,698.49 ",15,25477.35,369
Lenovo,IdeaPad,14 Inches,Grey,1 TB,Core i3 Family,20 GB,Windows 11 Home,Dolby,Integrated,,,4.3, $639.99 ,64,40959.36,130
HP,HP Chromebook,14 Inches,Gray,64 GB,Celeron N,4 GB,Chrome OS,,Integrated,Intel UHD Graphics 600,,3.8," $2,539.99 ",16,40639.84,321
Lenovo,Ideapad 3i,15.6 Inches,Arctic Grey,512 GB,Core i5,8 GB,Windows 11 Pro,Anti Glare Coating,Integrated,,,4.5, $589.99 ,31,18289.69,127
Dell,Inspiron,15.6 Inches,Black,1 TB,Celeron N4020,16 GB,Windows 11 Home,Anti Glare Coating,Integrated,,,4.1," $2,738.99 ",29,79430.71,206
acer,CP314-1H-P1Q5,14 Inches,Silver,128 GB,Pentium,8 GB,Chrome OS,,Integrated,Intel UHD Graphics,,4.3, $999.99 ,42,41999.58,374
MSI,Katana 15 B13VGK-484US,15.6 Inches,,1 TB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4070,NVIDIA GeForce RTX 4070,,4.3," $1,885.99 ",56,105615.44,257
