Order_ID,Country,Category,Unit_Price,Quantity,Order_Date,Total_Amount
1,Germany,Electronics,285.82,7,6/12/2025,2000.74
2,Pakistan,Toys,132,9,1/14/2025,1188
3,Australia,Fashion,481.65,9,8/27/2025,4334.85
4,UAE,Grocery,244.36,3,3/13/2025,733.08
5,Germany,Sports,403.97,5,5/23/2025,2019.85
6,Brazil,Home Decor,277.36,8,10/10/2025,2218.88
7,India,Fashion,26.49,8,9/26/2025,211.92
8,Germany,Toys,318.41,4,8/29/2025,1273.64
9,Australia,Home Decor,475.94,1,9/2/2025,475.94
10,UAE,Beauty,302.8,1,6/12/2025,302.8
11,Pakistan,Electronics,410.5,4,3/1/2025,1642
12,Australia,Sports,442.68,6,1/6/2025,2656.08
13,Australia,Toys,117.9,8,7/16/2025,943.2
14,India,Beauty,109.96,6,2/27/2025,659.76
15,Canada,Books,307.44,9,11/1/2025,2766.96
16,UAE,Fashion,208.46,9,8/5/2025,1876.14
17,UK,Grocery,420.73,2,1/26/2025,841.46
18,Australia,Home Decor,450.51,1,10/30/2025,450.51
19,Canada,Electronics,179.94,2,1/5/2025,359.88
20,UK,Home Decor,122.25,5,1/20/2025,611.25
21,UAE,Sports,391.36,4,7/17/2025,1565.44
22,USA,Fashion,141.03,4,2/28/2025,564.12
23,Brazil,Home Decor,412.19,9,8/30/2025,3709.71
24,Canada,Electronics,214.75,8,5/26/2025,1718
25,China,Fashion,335.44,6,9/30/2025,2012.64
26,USA,Home Decor,52.29,1,9/6/2025,52.29
27,Brazil,Grocery,313.81,2,1/14/2025,627.62
28,India,Toys,228.63,6,1/13/2025,1371.78
29,Germany,Fashion,295.37,2,2/13/2025,590.74
30,Pakistan,Toys,88.17,5,1/19/2025,440.85
31,China,Books,369.75,5,3/4/2025,1848.75
32,India,Fashion,432.08,6,8/27/2025,2592.48
33,UAE,Grocery,112.29,6,4/10/2025,673.74
34,India,Toys,52.38,6,6/12/2025,314.28
35,Germany,Beauty,16.7,2,5/2/2025,33.4
36,UAE,Electronics,322.78,3,2/13/2025,968.34
37,China,Beauty,305.51,6,5/25/2025,1833.06
38,Germany,Home Decor,275.62,8,2/19/2025,2204.96
39,UK,Grocery,119.81,1,3/6/2025,119.81
40,Pakistan,Beauty,198.5,1,10/15/2025,198.5
41,China,Fashion,299.27,2,6/13/2025,598.54
42,UK,Home Decor,250.9,6,5/21/2025,1505.4
43,Brazil,Home Decor,493.95,9,5/8/2025,4445.55
44,China,Beauty,72.54,4,8/27/2025,290.16
45,Brazil,Books,349.1,3,10/23/2025,1047.3
46,UAE,Beauty,205.14,8,7/6/2025,1641.12
47,UK,Books,216.96,9,7/27/2025,1952.64
48,Pakistan,Grocery,360.21,5,8/8/2025,1801.05
49,Germany,Electronics,347.76,9,7/9/2025,3129.84
50,Australia,Beauty,495.67,2,10/11/2025,991.34
51,India,Sports,68.56,3,8/25/2025,205.68
52,USA,Books,56.53,7,7/13/2025,395.71
53,Pakistan,Beauty,363.55,7,10/14/2025,2544.85
54,UK,Toys,291.3,6,9/16/2025,1747.8
55,Australia,Fashion,140.71,6,9/3/2025,844.26
56,Pakistan,Sports,44.31,2,5/16/2025,88.62
57,UK,Sports,47.4,6,10/7/2025,284.4
58,Canada,Books,447.62,4,9/28/2025,1790.48
59,Canada,Toys,99.97,3,6/20/2025,299.91
60,Brazil,Toys,165.07,2,6/8/2025,330.14
61,Pakistan,Home Decor,117.19,1,7/20/2025,117.19
